Sr. no,SKU,B2B Online,Lehenga Title,Category,Size,Choli Fabric,Lehenga Fabric,Dupatta Fabric,Inner Fabric,Color,Lehenga Length,Lehenga Flair,Lehenga Closer,Lehenga Stitching,Blouse Length,Blouse in Mtr,Dupatta Width,Dupatta Length,Sleeve,Sleeve Length,Neck Type,Work/Pattern,Work Type,Waist,Bust,Stitching,Content,Description,HSN,Img 1,Img 2,Img 3,Img 4,Img 5,Img 6,Img 7,Img 8,Img 9,Img 8,Img 9,Img 10,Img 11,Img 12,Img 13,,,,,
11,1010366_Black,1995,Black Multicolor Zigzag Border Taffeta Silk Festive & Wedding Wear Semi-stitch Lehenga Set,Lehenga Choli,Free Size up to 42Inch,Taffeta Silk,Taffeta Silk,Georgette,Crepe,Black,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,Full Sleeve,Round,Woven-style embroidery / jacquard look,Embroidery Thread Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric:Net , Inner Fabric:Altra Stin Silk , Choli Fabric: Net , Dupatta Fabric: Net , Lehenga Length: 42 Inch , Choli Size: 0.8 Mtr , Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches, Lehenga Work: Thread Embroidery Work , Choli Work: Embroidery , Dupatta Work: Embroidery and Lace Work",62114290,https://drive.google.com/open?id=1uPT0NyueSn-ygQqD5fBSkUq-r6aRwKX9&usp=drive_copy,https://drive.google.com/open?id=15ZBWEN11xs0E7qVjGJec7PbmS4RySuJU&usp=drive_copy,https://drive.google.com/open?id=1Gvv_v2JJgH2afWR1g-8nhosPCuhLTy5g&usp=drive_copy,,,,,,,,,,,,,,,,,
12,1010365_Pink,1995,"Rani Pink Floral Printed Festive Wear Chinon Semi-Stitch Lehenga, Unstitched Blouse With Dupatta",Lehenga Choli,Free Size up to 42Inch,Chinon,Chinon,Chinon,Crepe,Pink,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Sleeveless,No Sleeves,V-neck,Floral printed pattern,Printed Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Chinnon, Lehenga Work :: Bold Floral Prints Along The Hem, Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Dupatta Fabric :: Chinnon,Dupatta Work :: Stylish Tassel Detailing Printed, Dupatta Size :: 2.2 Mtr, Choli Fabric :: Chinnon,Choli Work :: All-over Floral Printed Pattern ,Choli Size :: 1 Mtr,",62114290,https://drive.google.com/open?id=1BCay_OjmRkA4zJVmGjd4JQrTsVw6y8iA&usp=drive_copy,https://drive.google.com/open?id=1sG2d_enCuv_nhC_C2EdKLbcMeMyWdat6&usp=drive_copy,https://drive.google.com/open?id=110L2zlAMF39V4bWNlmw7SdZlbd7dfrAV&usp=drive_copy,https://drive.google.com/open?id=1-Pgo01QLHOHz1of51F2f0MEptnkX_UTM&usp=drive_copy,https://drive.google.com/open?id=1VDNekzP6pzeCfSvjQyIhXrIR2tMt_nm7&usp=drive_copy,https://drive.google.com/open?id=1phsWX3oYI-3bk7eizAayL_6i4wDkmmWi&usp=drive_copy,https://drive.google.com/open?id=1XlLtJZPxhpbEzVRJbHteRw6ZWGA8rhY1&usp=drive_copy,,,,,,,,,,,,,
13,1010364_Brown,12995,Brown Floral Printed Festive Wear Chinon Lehenga Unstitched Blouse With Dupatta,Lehenga Choli,Free Size up to 42Inch,Chinon,Chinon,Chinon,Crepe,Brown,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Sleeveless,No Sleeves,V-neck,Floral printed pattern,Printed Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Chinnon, Lehenga Work :: Bold Floral Prints Along The Hem, Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Dupatta Fabric :: Chinnon,Dupatta Work :: Stylish Tassel Detailing Printed, Dupatta Size :: 2.2 Mtr, Choli Fabric :: Chinnon,Choli Work :: All-over Floral Printed Pattern ,Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1uBYulkw9oJEDLSE8Q-n0TaPD1VB1J_a6&usp=drive_copy,https://drive.google.com/open?id=1di6trj7DIPmVjUDu4NW5_UtV6vxX2k8t&usp=drive_copy,https://drive.google.com/open?id=1cutMDCmYBjFXVO0u-cPjLpkgJT9I1X87&usp=drive_copy,https://drive.google.com/open?id=1eBRveojKvVX0UFnGwdnjNhvgHwzpPvB1&usp=drive_copy,https://drive.google.com/open?id=1-uWZvLFLvUmUQybFdUpFB5hNRoHs82Go&usp=drive_copy,https://drive.google.com/open?id=1InB2lfbcEFOhgoa-eByzyhUeG9Mu4xhC&usp=drive_copy,,,,,,,,,,,,,,
14,1010363_Bridal,12956,Motif Pattern Embroidered Semi- Sticth Rani Pink Silk Bridal Lehenga Choli with Net Dupatta,Lehenga Choli,Free Size up to 42Inch,Silk,Silk,Net,Crepe,Pink,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Full Sleeve,Three-Quarter Length,V-neck,Traditional Floral & Mughal Motif Pattern,Thread Embroidery Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric: Silk , Inner Fabric: Crep , Choli Fabric: Silk , Dupatta Fabric: Net , Lehenga Length: 42 Inch , Choli Size: 0.8 Mtr , Dupatta width: 38 inches/ 0.95 meter , dupatta length : 2.15 meter/ 84.64 inches, Lehenga Work: Embroidery beads Work, Choli Work: Embroidery beads Work , Dupatta Work: Embroidery and Lace Work",62114290,https://drive.google.com/open?id=1ULoN4ty3K6nHvzAEXrsiUznbjePiAeFM&usp=drive_copy,https://drive.google.com/open?id=1hgLg8LZ5lW7Ak3krrTOqi0uH201-HkA8&usp=drive_copy,https://drive.google.com/open?id=1t6UwQkZYVcWB6GLfg1nYvoaanEKMMdz9&usp=drive_copy,https://drive.google.com/open?id=1aKBv9rTF72YckLVbUIM0ZRQ5YEqKdHC3&usp=drive_copy,https://drive.google.com/open?id=1PVfHCD3gxMr9p53TNxwn5fKjaE6oxINl&usp=drive_copy,https://drive.google.com/open?id=1X5lIjbRWLRwLJRiTembELreF7mFg47Pf&usp=drive_copy,https://drive.google.com/open?id=19YfkV7bTrlnBkySn3VP9PF0y7KLUWcq8&usp=drive_copy,https://drive.google.com/open?id=1AZc00J9eC3DZZZl-B8yh8UWrSoIJHKma&usp=drive_copy,https://drive.google.com/open?id=1l_N-1V6rsnBLkVQ2SMmwSezpoV51_f1p&usp=drive_copy,,,,,,,,,,,
15,1010362_Multi,1995,Purple & Mustard Yellow Zari Weaving Work Festive & Wedding Wear Semi-Stitched Lehenga Choli with Dupatta,Lehenga Choli,Free Size up to 42Inch,Rangoli Silk,Rangoli Silk,Rangoli Silk,Crepe,Multi,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Sleeveless,No Sleeves,V-neck,Embroidery Sequence Work,Embroidery Sequence Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Rangoli Silk, Lehenga Work :: Embroidery Sequnce Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Rangoli Silk ,Duptta Work :: Embroidery Sequnce Work , Duptta Size :: 2.2 Mtr, Choli Fabric :: Rangoli Silk,Choli Work :: Embroidery Sequnce Work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1_sPb7ynQJpg4tpygEX-P94Tb9tsMtKQw&usp=drive_copy,https://drive.google.com/open?id=1BnK9so8CIAo_cOEOGPdHDRHj6GbG9ALP&usp=drive_copy,https://drive.google.com/open?id=1kgX3Cgl00lMcYPNeqIfgW9itceznZzh5&usp=drive_copy,https://drive.google.com/open?id=1cGiLRAuq2w97tBSSSfqI46sNg-GtifFj&usp=drive_copy,https://drive.google.com/open?id=1jd6fHvzcB1PR_-omT23wTy5997syvK2R&usp=drive_copy,https://drive.google.com/open?id=1ZqMKekOlODcs_zosVMbMzOoB9grkhDY8&usp=drive_copy,https://drive.google.com/open?id=16gHZqqFW5budhhexY3kjExBvz6hIxgL3&usp=drive_copy,https://drive.google.com/open?id=1ywu53mifZUPKavK-z3LpF1Ix_pbPjzr6&usp=drive_copy,https://drive.google.com/open?id=1HelKh2SvzXoGff6JJbxQsiUQ2De1t9Tj&usp=drive_copy,https://drive.google.com/open?id=1kF6kTKv5YYbs0L4_zxNiGbIW8_hQzNlx&usp=drive_copy,,,,,,,,,,
16,1010361_FP,2195,Women’s Wine Purple Heavy Embroidered Wedding & Reception Wear Lehenga Choli with Dupatta,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Purple,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Sleeveless,No Sleeves,V-neck,Embroidery Fogo Work,Embroidery Fogo Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work :: Fogo Embroidery Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Georgette,Duptta Work :: Fogo Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgette,Choli Work :: Fogo Work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=16oTEAxvuwgcy1Tx0ogO3b7hCbv24HBXq&usp=drive_copy,https://drive.google.com/open?id=15ur3ydFMbc_xMP5jZUGYt9Vqd-fTt426&usp=drive_copy,https://drive.google.com/open?id=1-1nW8WprGyjGDQJ3H_AERlQX-elrrizI&usp=drive_copy,https://drive.google.com/open?id=1cQ1Z1XOijRJyrKQwOcV6rNTvh2_ImXei&usp=drive_copy,https://drive.google.com/open?id=1QNjGkot36VuOgN6ic8SaBMIIwIOpO1xk&usp=drive_copy,https://drive.google.com/open?id=1EIJh4fTt8BfdHV4Ah8EUxssvWlLYduUX&usp=drive_copy,https://drive.google.com/open?id=17wv3e9mXrYLPE9sNJPuzLIYn6Voa0DHu&usp=drive_copy,https://drive.google.com/open?id=1uuSbIwS8iSG0iwX2prXi51EgeyBWAuSt&usp=drive_copy,,,,,,,,,,,,
17,1010360_Pink,2195,Pink Thread Embroidered Jimmy Choo Semi-Stitch Wedding WearSleeveless Lehenga Set with Dupatta,Lehenga Choli,Free Size up to 42Inch,Jimmy Choo,Jimmy Choo,Jimmy Choo,Crepe,Pink,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Sleeveless,No Sleeves,Round,Heavy embroidered pattern with intricate thread detailing,Thread embroidery Beads Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Jimmy Choo, Lehenga Work :: Delicate Beads Border Work, Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Dupatta Fabric :: Jimmy Choo,Dupatta Work :: Delicate Beads Border Work , Dupatta Size :: 2.2 Mtr, Choli Fabric :: Jimmy Choo,Choli Work :: Intricate Embroidery With beads Work ,Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=12Q2eNknEq0SscGEyg_cpWiVqEMH48Rfv&usp=drive_copy,https://drive.google.com/open?id=18bFJu-gVPtNKHAeDXwmPHCbklSC5Ug0g&usp=drive_copy,https://drive.google.com/open?id=1yZSjRHVVK85pi_18OGSv8Z4cEmyrWq2n&usp=drive_copy,https://drive.google.com/open?id=1Nty1Db8Gav-Udw1_T1Ja8iG9Aha7jUtW&usp=drive_copy,https://drive.google.com/open?id=19-ZKIkLiVYZwiRZvisISpkSK89L4nuWp&usp=drive_copy,https://drive.google.com/open?id=1ZgMO8u5kBGPV40zPg9YoTMp6aA8eGZ52&usp=drive_copy,https://drive.google.com/open?id=1zfmv6BmG3rPbGVTEJm7KU9rjkcv0OpGE&usp=drive_copy,,,,,,,,,,,,,
18,1010359_DD,2295,Rust Embroidered Wedding & Reception Wear Semi-stitch V-Neck Georgette Lehenga Set with Dupatta,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Brown,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Sleeveless,Short sleeves,V Neck,Embroidery Sequence Work,Embroidery Sequence Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Star Georgette, Lehenga Work :: Embroidery Sequnce Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Star Georgette,Duptta Work :: Embroidery Sequnce Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Star Georgette,Choli Work :: Embroidery Sequnce Work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1yKKkAxINE1OoTJOfvOI_moF5d7CZKuEb&usp=drive_copy,https://drive.google.com/open?id=1zDyLV6R1vp3t_b0f-ceqrbhdQb27RVLv&usp=drive_copy,https://drive.google.com/open?id=1pEvTJ-rrT79wnBbBKj6cyDDFxm4lHAhG&usp=drive_copy,https://drive.google.com/open?id=1HWQxyY1Gs3N1YLyzgLdaM1wlDYszasFk&usp=drive_copy,https://drive.google.com/open?id=1xyJeGMMNPRixP0WMpXmIr1ak-cJeo-gx&usp=drive_copy,https://drive.google.com/open?id=1i4D-KR7vl60jlAWgzWTSpLoW9e4oLOMr&usp=drive_copy,https://drive.google.com/open?id=17OWb39NKRgGdUfjhov1FR1wRO55NZ8R7&usp=drive_copy,https://drive.google.com/open?id=1R-CKN6JB1ia5OgFSPtW3eToYUtHMSVoE&usp=drive_copy,,,,,,,,,,,,
19,1010358_Haldi,2295,Teal Green Embroidered Festive & Wedding Wear V-Neck Blouse with Mustard Yellow Floral Printed Lehenga,Lehenga Choli,Free Size up to 42Inch,Taffeta Silk,Chinon,Rangoli Silk,Crepe,Yellow,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',cuff border Sleeve,Elbow length,V Neck,Printed & Embroidery Sequnce Work,Printed & Embroidery Sequnce Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Chinon, Lehenga Work :: Printed , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Rangoli Silk ,Duptta Work :: Embroidery Sequnce Work , Duptta Size :: 2.2 Mtr, Choli Fabric :: Taffeta Silk,Choli Work :: Embroidery Sequnce Work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1PrVv2k18Wz2JGQJTLLWCxvcB6GUPFdUF&usp=drive_copy,https://drive.google.com/open?id=15e_f5Ymuu5mTcufQIzf9pettshzAU429&usp=drive_copy,https://drive.google.com/open?id=1IhC8MhdBpYm7DfPTcozu0DYFqDRnlbZI&usp=drive_copy,https://drive.google.com/open?id=1NkZv6WNyFcP54Wj7l-b8w4nTbJrtWSaB&usp=drive_copy,https://drive.google.com/open?id=1Vk1iNjhzksMWtCK5-71KTgM8XLqfeRji&usp=drive_copy,https://drive.google.com/open?id=11FUsRgecea2jg9TkiZ73UiAIHB5IgW36&usp=drive_copy,,,,,,,,,,,,,,
20,1010357_Purple Print,2295,Wine Purple Floral Printed & Embroidered Festive & Wedding Wear Semi-Stitched Chinon Lehenga Set,Lehenga Choli,Free Size up to 42Inch,Chinon,Chinon,Chinon,Crepe,Purple,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Sleeveless,No Sleeves,Round Neck,Printed & Embroidery Sequnce Work,Printed & Embroidery Sequnce Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Chinon, Lehenga Work :: Printed & Embroidery Sequnce Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net ,Duptta Work :: Embroidery Sequnce Work , Duptta Size :: 2.2 Mtr, Choli Fabric :: Chinon,Choli Work :: Embroidery Sequnce Work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1vkWJwJSj37O1uepyKbIcKpwkfBoHvfRM&usp=drive_copy,https://drive.google.com/open?id=10yzv8gFt7T26ph_ss4leur77B2YBStJU&usp=drive_copy,https://drive.google.com/open?id=1bNOF2jSYnfCQpyNQt7Q_kgyc3s-srcp-&usp=drive_copy,https://drive.google.com/open?id=1VBuFKHea-BpxhSzxiRXImuLWeii_XxVF&usp=drive_copy,https://drive.google.com/open?id=1_XqZzN1MZkUNCCwdRSckE5rbbwUZ_O-C&usp=drive_copy,https://drive.google.com/open?id=1g6VJLJAaK6STbUw3PQ63v2LfoqZCbZOG&usp=drive_copy,https://drive.google.com/open?id=1bh3gaEekj8qdpBKso0BBsWr5AgIe4AgL&usp=drive_copy,https://drive.google.com/open?id=1FD16hs78R6ifcogo8HrHKb39_2hb59jO&usp=drive_copy,https://drive.google.com/open?id=1gr3lluQQ4l9wHt5xCoQlGUkQWkPwAwlG&usp=drive_copy,,,,,,,,,,,
21,1010356_Yellow,2895,Mustard Yellow Mirror & Thread Embroidered Festive & Wedding Wear Semi-Stitched One-Shoulder Georgette Lehenga Set,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Yellow,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeves,10 Inch,V Neck,Embroidery Sequence Work.,Embroidery Sequence Work.,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work :: Embroidery Sequnce Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Georgette,Duptta Work :: Embroidery Sequnce Work , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgette,Choli Work :: Embroidery Sequnce Work, Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1mm0BB7d1lBR6UxNah4vC7-ON2B0BaiW2&usp=drive_copy,https://drive.google.com/open?id=1RO5prn1PEc7E4B31ZB0hd5iKIUkqg2mI&usp=drive_copy,https://drive.google.com/open?id=1HJ4g_t7SMWYjMK1vYCV02AwQYLzRCcbJ&usp=drive_copy,https://drive.google.com/open?id=1hWkkE2SUuIDMlDwA_KO7dkYytbUrkViH&usp=drive_copy,https://drive.google.com/open?id=1-6StWDjkZXkJrvpCM3Y2KUXYb2dGB7my&usp=drive_copy,https://drive.google.com/open?id=1puWlFfTI1nGkVVm8-Ny-baj1n8rMEHtC&usp=drive_copy,https://drive.google.com/open?id=1jBh9GgIp_sQ2Fy3Xu6oC9_Kyt1UMW8n1&usp=drive_copy,https://drive.google.com/open?id=11tfFm2nl8_-mtZ_txYlfKJ_oY43QdxG2&usp=drive_copy,https://drive.google.com/open?id=1vxhnW4ZcjShnHEj7XS7Jv30uexLYUN8n&usp=drive_copy,,,,,,,,,,,
22,1010355_Black,2195,Black Foil Printed Festive Wear Semi-Stitched Georgette Lehenga Set,Lehenga Choli,Free Size up to 42Inch,Georgette,Georgette,Georgette,Crepe,Black,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Regular Sleeve,10 Inch,V Neck,Embroidery Fogo Work,Embroidery Fogo Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Georgette, Lehenga Work :: Fogo , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Georgette,Duptta Work :: Fogo , Duptta Size :: 2.2 Mtr, Choli Fabric : Georgette,Choli Work :: Fogo, Choli Size:: 1 Mtr.",62114290,https://drive.google.com/open?id=1TbKoF-4-hQjNqlxfJVZUX8sGiiYBTmyu&usp=drive_copy,https://drive.google.com/open?id=1tkymWenPGWWxPNyIsr2XVof3iHlL6miT&usp=drive_copy,https://drive.google.com/open?id=1FkaplRht9I0Cadq-nWT0NNsR7RtHi7B6&usp=drive_copy,https://drive.google.com/open?id=13741hB0jv3IGftzDNM-EPSukcFM0I66o&usp=drive_copy,https://drive.google.com/open?id=1pHxiS-_9KbnYPYwN69KMdLMkoh9_5wZx&usp=drive_copy,https://drive.google.com/open?id=1xmdOorMk2BJhzeYc_Ow1Ql3XxqdLLlim&usp=drive_copy,https://drive.google.com/open?id=1ES_mp-P2FY_VufcyGIrc4qgd1aLqwPg4&usp=drive_copy,https://drive.google.com/open?id=1lpJYxtNb925Old0FLaZIX2rzgbdQKoml&usp=drive_copy,,,,,,,,,,,,
23,1010354_Gprint,2195,Teal Green Floral Printed & Zari Embroidered Festive & Wedding Wear Semi-Stitched Chinon Lehenga Set,Lehenga Choli,Free Size up to 42Inch,Chinon,Chinon,Chinon,Crepe,Green,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Short Sleeves,10 Inch,V Neck,Printed & Embroidery Sequnce Work,Printed & Embroidery Sequnce Work,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Chinon, Lehenga Work :: Printed & Embroidery Sequnce Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Duptta Fabric :: Net ,Duptta Work :: Embroidery Sequnce Work , Duptta Size :: 2.2 Mtr, Choli Fabric :: Chinon,Choli Work :: Embroidery Sequnce Work, Choli Size ::1 Mtr.",62114290,https://drive.google.com/open?id=1YpdSwmIy039kr09up75POXDMn7j7pZjS&usp=drive_copy,https://drive.google.com/open?id=1ds7q1zL1s8ZYn1bFEwCNZ_m9ICejy1z5&usp=drive_copy,https://drive.google.com/open?id=1H2Zra2eQhUEcS267Zxoxii7aQBApt-7J&usp=drive_copy,https://drive.google.com/open?id=1qQdAa6iYQMApQZV1FQqf-cABq4lk5Q7s&usp=drive_copy,https://drive.google.com/open?id=1eXszskH7SAoRhEJSIMbx5ThrqBzNVnws&usp=drive_copy,https://drive.google.com/open?id=1EDm1wmj9vIZJY7vR1dqXFp3_exdy9c4Z&usp=drive_copy,https://drive.google.com/open?id=1iwS6OWoomB9tSQdj0QxZwwvD1sUebd_f&usp=drive_copy,https://drive.google.com/open?id=1l1JvPKutHscyArD82yv8CR22ny5zigUN&usp=drive_copy,https://drive.google.com/open?id=1HhlZ-JjtidtO7XwnM9_knvjWy4OHkCDl&usp=drive_copy,https://drive.google.com/open?id=1U313bYj3nWAqDNtk5tNVeXvqOMMC85gT&usp=drive_copy,,,,,,,,,,
24,1010353_Blue,2195,Festive & Reception Wear Semi-Stitched Navy Blue Mono Silk Lehenga with Floral Embroidered Sweetheart Blouse,Lehenga Choli,Free Size up to 42Inch,Net,Rangoli Silk,Net,Crepe,Blue,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',sleeveless,No Sleeves,V Neck,Multicolor floral embroidery with thread work,Thread embroidery,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Rangoli Silk, Lehenga Work ::Embroidery Sequnce Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Dupatta Fabric :: Rangoli Silk,Dupatta Work :: Attached draped panel with a smooth finish , Dupatta Size :: 2.2 Mtr, Choli Fabric :: Mono SIlk,Choli Work :: Multicolor Floral Thread Embroidery ,Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=132t0bm8ewNsaG_yFCHkpofWk2vhdnig9&usp=drive_copy,https://drive.google.com/open?id=1qA2981g4db2hlyES4cc7tIgRCulNLPz5&usp=drive_copy,https://drive.google.com/open?id=1dYwUotpgZHyVYJWHXeb3mJ4wYqjSzJlk&usp=drive_copy,https://drive.google.com/open?id=1-JwJCZtFQL0eE1vH18KSMoTHtCzCclLT&usp=drive_copy,https://drive.google.com/open?id=1he6jh9-JBsf8Be0ePF8aTjrTgyyOnVip&usp=drive_copy,https://drive.google.com/open?id=142Qge6864R6NLuN4I_8MFc7GJcVPYRRz&usp=drive_copy,https://drive.google.com/open?id=1AaMSDNZh8eczrPgwW5W9Ix2H_HGCXSum&usp=drive_copy,https://drive.google.com/open?id=18r4mrfXFud5OVEdI_aF3b737KWR8v_56&usp=drive_copy,https://drive.google.com/open?id=1wnGNbO8_ZR4_rv3AUtJvnXLCTmT-KnMN&usp=drive_copy,,,,,,,,,,,
25,1010353_Rama,2195,Festive & Reception Wear Semi-Stitched Navy Rama Mono Silk Lehenga with Floral Embroidered Sweetheart Blouse,Lehenga Choli,Free Size up to 42Inch,Mono Silk,Rangoli Silk,Rangoli Silk,Crepe,Rama,42 inches '',' 3 Mtr '',Zip Closure,Stitched with Cancan Support & Full Inner,15 Inches '',1 Meters '',36–40 Inches '',2.20 Meters'',Sleeveless,No Sleeves,Square neck,Multicolor floral embroidery with thread work,Thread embroidery,Up to 42,NA,Semi Stitched,"Lehenga :: 1,Choli :: 1,Dupatta ::1","Lehenga Fabric :: Rangoli Silk, Lehenga Work ::Embroidery Sequnce Work , Lehenga Inner :: Crepe ,Lehenga Flair :: 3 Mtr , Dupatta Fabric :: Rangoli Silk,Dupatta Work :: Attached draped panel with a smooth finish , Dupatta Size :: 2.2 Mtr, Choli Fabric :: Mono SIlk,Choli Work :: Multicolor Floral Thread Embroidery ,Choli Size :: 1 Mtr.",62114290,https://drive.google.com/open?id=1CLbwF9jM1JatDoe_tN0nW58IvMAs_JrZ&usp=drive_copy,https://drive.google.com/open?id=1xQCO7T2sPrDaYoEU2Ngany6UcsRfgPuK&usp=drive_copy,https://drive.google.com/open?id=1ZeB_2Yqch4Su7TDRFaJG8R6vs_jNbBUS&usp=drive_copy,https://drive.google.com/open?id=1IO9m4RiLZXOJJrz7fZu9Dl9cq5P9xDaa&usp=drive_copy,,,,,,,,,,,,,,,,
